player,team,position,salary
Roddery Munoz,Houston Astros,P,900000
José Suarez,Athletics,P,900000
Taylor Trammell,Houston Astros,OF,900000
Luis Vazquez,Baltimore Orioles,SS,900000
Joey Wentz,Atlanta Braves,P,900000
Eli White,Atlanta Braves,OF,900000
Pete Crow-Armstrong,Chicago Cubs,OF,894000
Cody Laweryson,Minnesota Twins,P,875000
Sam Moll,Cincinnati Reds,P,875000
Christian Roa,Chicago Cubs,P,875000
Austin Wells,New York Yankees,C,866200
Cade Cavalli,Washington Nationals,P,862500
Michael Busch,Chicago Cubs,1B,860000
Rafael Marchán,Philadelphia Phillies,C,860000
Ty Adcock,San Diego Padres,P,850000
Tejay Antone,Cincinnati Reds,P,850000
Justin Bruihl,St. Louis Cardinals,P,850000
Vidal Brujan,New York Mets,2B,850000
Chris Devenski,Pittsburgh Pirates,P,850000
Matt Gage,San Francisco Giants,P,850000
Michael Grove,Tampa Bay Rays,P,850000
Justin Hagenman,New York Mets,P,850000
Jonathan Hernandez,Los Angeles Dodgers,P,850000
Codi Heuer,Cleveland Guardians,P,850000
Connor Joe,Seattle Mariners,1B,850000
Tommy Kahnle,Boston Red Sox,P,850000
Caleb Kilian,San Francisco Giants,P,850000
Jared Oliva,San Francisco Giants,OF,850000
Josh Rojas,Kansas City Royals,SS,850000
Joe Ross,Texas Rangers,P,850000
Nick Solak,San Diego Padres,OF,850000
Chadwick Tromp,Atlanta Braves,C,850000
Ricky Vanasco,Detroit Tigers,P,850000
LaMonte Wade Jr.,Houston Astros,1B,850000
Jacob Waguespack,Detroit Tigers,P,850000
Brandon Walter,Houston Astros,P,850000
Davis Wendzel,Pittsburgh Pirates,3B,850000
Ben Rice,New York Yankees,1B,845800
James Karinchak,Atlanta Braves,P,840000
Luis Medina,Athletics,P,835000
Dillon Dingler,Detroit Tigers,C,834900
Jahmai Jones,Detroit Tigers,OF,832200
Bryan Woo,Seattle Mariners,P,831600
Will Warren,New York Yankees,P,826625
Shane Smith,Chicago White Sox,P,825900
Yohan Ramirez,Pittsburgh Pirates,P,825000
Ken Waldichuk,Washington Nationals,P,825000
Bo Naylor,Cleveland Guardians,C,824900
Cade Smith,Cleveland Guardians,P,824600
Andres Chaparro,Washington Nationals,3B,822600
Gavin Williams,Cleveland Guardians,P,822200
Louie Varland,Toronto Blue Jays,P,821500
Tristan Beck,San Francisco Giants,P,820000
Ty Blach,Chicago Cubs,P,820000
Deyvison De Los Santos,Miami Marlins,3B,820000
Robert Gasser,Milwaukee Brewers,P,820000
Tayron Guerrero,Boston Red Sox,P,820000
P.J. Higgins,Cincinnati Reds,C,820000
Drey Jameson,Arizona Diamondbacks,P,820000
Zack Kelly,Boston Red Sox,P,820000
Ethan Roberts,Chicago Cubs,P,820000
Ali Sanchez,New York Yankees,C,820000
Jared Shuster,St. Louis Cardinals,P,820000
Albert Suarez,Baltimore Orioles,P,820000
Jared Triolo,Pittsburgh Pirates,SS,818900
Reese Olson,Detroit Tigers,P,818100
Cade Horton,Chicago Cubs,P,817500
Mark Vientos,New York Mets,3B,813750
Davis Schneider,Toronto Blue Jays,3B,813500
Brendon Little,Toronto Blue Jays,P,811900
Brett Baty,New York Mets,2B,811500
Addison Barger,Toronto Blue Jays,OF,811000
Otto Lopez,Miami Marlins,SS,810500
Wilyer Abreu,Boston Red Sox,OF,810000
Patrick Bailey,Cleveland Guardians,C,810000
Jack Dreyer,Los Angeles Dodgers,P,810000
Hunter Goodman,Colorado Rockies,C,810000
Ben Joyce,Los Angeles Angels,P,810000
James McArthur,Kansas City Royals,P,810000
Erik Miller,San Francisco Giants,P,810000
Oswald Peraza,Los Angeles Angels,2B,810000
Heliot Ramos,San Francisco Giants,OF,810000
Grayson Rodriguez,Los Angeles Angels,P,810000
Nolan Schanuel,Los Angeles Angels,1B,810000
Casey Schmitt,San Francisco Giants,1B,810000
Emmet Sheehan,Los Angeles Dodgers,P,810000
Gavin Stone,Los Angeles Dodgers,P,810000
Ryan Walker,San Francisco Giants,P,810000
Cam Smith,Houston Astros,OF,809900
Bowden Francis,Toronto Blue Jays,P,809800
Jeremiah Estrada,San Diego Padres,P,809500
Hunter Gaddis,Cleveland Guardians,P,809500
Ronny Henriquez,Miami Marlins,P,809000
Randy Vasquez,San Diego Padres,P,808800
Miguel Amaya,Chicago Cubs,C,808500
Nathan Lukes,Toronto Blue Jays,OF,808500
Daniel Palencia,Chicago Cubs,P,808000
Osvaldo Bido,Chicago White Sox,P,807925
Ron Marinaccio,San Diego Padres,P,807650
Andruw Monasterio,Boston Red Sox,SS,807500
Greg Weissert,Boston Red Sox,P,807500
Bryan Hoeing,San Diego Padres,P,807000
James Wood,Washington Nationals,OF,806900
Carmen Mlodzinski,Pittsburgh Pirates,P,806800
Tobias Myers,New York Mets,P,806300
Miguel Vargas,Chicago White Sox,3B,805700
Orion Kerkering,Philadelphia Phillies,P,805500
Parker Meadows,Detroit Tigers,OF,805300
Bryce Johnson,San Diego Padres,OF,805000
Wyatt Langford,Texas Rangers,OF,805000
Matt Shaw,Chicago Cubs,3B,804500
Kyle Stowers,Miami Marlins,OF,804200
Xavier Edwards,Miami Marlins,2B,804000
Kody Clemens,Minnesota Twins,1B,803900
Lenyn Sosa,Toronto Blue Jays,2B,803550
Lucas Erceg,Kansas City Royals,P,803500
Quinn Priester,Milwaukee Brewers,P,803200
Jordan Westburg,Baltimore Orioles,2B,802800
Ronel Blanco,Houston Astros,P,802700
Jackson Holliday,Baltimore Orioles,2B,802200
Taj Bradley,Minnesota Twins,P,802050
Noah Cameron,Kansas City Royals,P,802000
Spencer Horwitz,Pittsburgh Pirates,1B,802000
Nick Gonzales,Pittsburgh Pirates,3B,801600
Jared Jones,Pittsburgh Pirates,P,801600
Colton Cowser,Baltimore Orioles,OF,801500
Cam Schlittler,New York Yankees,P,801425
Tim Herrin,Cleveland Guardians,P,801200
Gabriel Arias,Cleveland Guardians,SS,801100
Daniel Schneemann,Cleveland Guardians,OF,800700
Sal Frelick,Milwaukee Brewers,OF,800600
Robert Garcia,Texas Rangers,P,800500
Henry Davis,Pittsburgh Pirates,C,800400
Jake Mangum,Pittsburgh Pirates,OF,800200
Michael Burrows,Houston Astros,P,800100
Andrew Abbott,Cincinnati Reds,P,800000
Shaun Anderson,Los Angeles Angels,P,800000
Sam Bachman,Los Angeles Angels,P,800000
Drake Baldwin,Atlanta Braves,C,800000
Hayden Birdsong,San Francisco Giants,P,800000
Ben Brown,Chicago Cubs,P,800000
Jose Butto,San Francisco Giants,P,800000
Ben Casparius,Los Angeles Dodgers,P,800000
Cooper Criswell,Seattle Mariners,P,800000
Elly De La Cruz,Cincinnati Reds,SS,800000
Tristan Gray,Minnesota Twins,SS,800000
Vaughn Grissom,Los Angeles Angels,2B,800000
Daysbel Hernández,Atlanta Braves,P,800000
Grant Holmes,Atlanta Braves,P,800000
Joe Jacques,New York Mets,P,800000
Jack Kochanowicz,Los Angeles Angels,P,800000
Christian Koss,San Francisco Giants,SS,800000
Corbin Martin,Chicago Cubs,P,800000
Bobby Miller,Los Angeles Dodgers,P,800000
Dane Myers,Cincinnati Reds,OF,800000
Andrew Nardi,Miami Marlins,P,800000
Carlos Narvaez,Boston Red Sox,C,800000
Andy Pages,Los Angeles Dodgers,OF,800000
Yohel Pozo,St. Louis Cardinals,C,800000
Randy Rodriguez,San Francisco Giants,P,800000
Landen Roupp,San Francisco Giants,P,800000
Reiver Sanmartin,San Francisco Giants,P,800000
Roki Sasaki,Los Angeles Dodgers,P,800000
Spencer Schwellenbach,Atlanta Braves,P,800000
Connor Seabold,Kansas City Royals,P,800000
Chase Silseth,Los Angeles Angels,P,800000
AJ Smith-Shawver,Atlanta Braves,P,800000
Brett Sullivan,Colorado Rockies,C,800000
Brandon Williamson,Cincinnati Reds,P,800000
Keaton Winn,San Francisco Giants,P,800000
Grant Wolfram,Baltimore Orioles,P,800000
Bryan King,Houston Astros,P,799900
J.C. Escarra,New York Yankees,C,799800
Isaac Collins,Kansas City Royals,OF,799750
Eury Pérez,Miami Marlins,P,799500
Masyn Winn,St. Louis Cardinals,SS,799450
Jordan Walker,St. Louis Cardinals,OF,799400
Matt Wallner,Minnesota Twins,OF,799350
Davis Martin,Chicago White Sox,P,798900
Iván Herrera,St. Louis Cardinals,C,798800
Colson Montgomery,Chicago White Sox,SS,798500
Kyle Manzardo,Cleveland Guardians,1B,798300
Abner Uribe,Milwaukee Brewers,P,798300
Hurston Waldrep,Atlanta Braves,P,798300
Janson Junk,Miami Marlins,P,798000
Brayan Rocchio,Cleveland Guardians,2B,797600
Jordan Leasure,Chicago White Sox,P,797550
James Outman,Detroit Tigers,OF,797550
Alec Marsh,Kansas City Royals,P,797500
Chris Murphy,Chicago White Sox,P,797250
Mason Fluharty,Toronto Blue Jays,P,797000
Pedro Pages,St. Louis Cardinals,C,796900
Matt Waldron,San Diego Padres,P,796800
Joey Cantillo,Cleveland Guardians,P,796600
Dominic Canzone,Seattle Mariners,OF,796600
José Ferrer,Seattle Mariners,P,796600
Braydon Fisher,Toronto Blue Jays,P,796600
Jonathan Aranda,Tampa Bay Rays,1B,796400
Chad Patrick,Milwaukee Brewers,P,796400
Simeon Woods-Richardson,Toronto Blue Jays,P,796250
Brant Hurter,Detroit Tigers,P,796200
Caleb Durbin,Boston Red Sox,3B,796000
Slade Cecconi,Cleveland Guardians,P,795600
Kyle Leahy,St. Louis Cardinals,P,795600
Braxton Ashcraft,Pittsburgh Pirates,P,795100
Riley O'Brien,St. Louis Cardinals,P,795050
Mike Vasil,Chicago White Sox,P,795050
Junior Caminero,Tampa Bay Rays,3B,794800
Kody Funderburk,Minnesota Twins,P,794700
Isaac Mattson,Pittsburgh Pirates,P,794200
Jacob Young,Washington Nationals,OF,794200
Jack Leiter,Texas Rangers,P,794000
Connor Norby,Miami Marlins,1B,794000
Tyler Phillips,Miami Marlins,P,794000
Manuel Rodriguez,Tampa Bay Rays,P,793600
Jacob Latz,Texas Rangers,P,793500
George Soriano,St. Louis Cardinals,P,793350
Emerson Hancock,Seattle Mariners,P,793300
Stephen Kolek,Kansas City Royals,P,793250
Sean Burke,Chicago White Sox,P,793200
Ryan Fernandez,St. Louis Cardinals,P,793100
Brooks Lee,Minnesota Twins,3B,793050
Cody Bradford,Texas Rangers,P,793000
Mason Montgomery,Pittsburgh Pirates,P,793000
Grant Anderson,Milwaukee Brewers,P,792900
Blaze Alexander,Baltimore Orioles,2B,792800
Edouard Julien,Colorado Rockies,2B,792750
Victor Scott II,St. Louis Cardinals,OF,792750
Brent Headrick,New York Yankees,P,792675
Michael Petersen,Miami Marlins,P,792500
Jose Fermin,St. Louis Cardinals,2B,792350
Miles Mastrobuoni,Seattle Mariners,OF,792300
Dedniel Nunez,New York Mets,P,792000
Agustin Ramirez,Miami Marlins,C,792000
Joey Loperfido,Houston Astros,OF,791900
Erik Sabrowski,Cleveland Guardians,P,791600
Lake Bachar,Miami Marlins,P,791500
Jhony Brito,San Diego Padres,P,791500
Evan Carter,Texas Rangers,OF,791500
Nolan McLean,New York Mets,P,791500
Esteury Ruiz,Miami Marlins,OF,791500
Javier Sanoja,Miami Marlins,SS,791500
Justin Slaten,Boston Red Sox,P,791500
David Festa,Minnesota Twins,P,791200
Coby Mayo,Baltimore Orioles,3B,790800
A.J. Blubaugh,Houston Astros,P,790700
Zach Dezenzo,Houston Astros,SS,790700
Austin Martin,Minnesota Twins,OF,790650
Jorbit Vivas,Washington Nationals,SS,790600
Joey Ortiz,Milwaukee Brewers,SS,790400
Carlos Vargas,Seattle Mariners,P,790100
Didier Fuentes,Atlanta Braves,P,790000
Edgardo Henriquez,Los Angeles Dodgers,P,790000
Liam Hicks,Miami Marlins,C,790000
Ryan Johnson,Los Angeles Angels,P,790000
Will Klein,Los Angeles Dodgers,P,790000
Landon Knack,Los Angeles Dodgers,P,790000
Rhett Lowder,Cincinnati Reds,P,790000
Noelvi Marte,Cincinnati Reds,OF,790000
Jovani Morán,Boston Red Sox,P,790000
Dalton Rushing,Los Angeles Dodgers,C,790000
Bryce Teodosio,Los Angeles Angels,OF,790000
Victor Vodnik,Colorado Rockies,P,790000
Justin Wrobleski,Los Angeles Dodgers,P,790000
Connelly Early,Boston Red Sox,P,789500
Heston Kjerstad,Baltimore Orioles,OF,789500
Jonny DeLuca,Tampa Bay Rays,OF,789300
Brooks Baldwin,Chicago White Sox,SS,789250
Chase Meidroth,Chicago White Sox,2B,789100
Kumar Rocker,Texas Rangers,P,789000
Trey Yesavage,Toronto Blue Jays,P,788800
Jeremiah Jackson,Baltimore Orioles,2B,788700
Trey Sweeney,Detroit Tigers,SS,788700
Drew Thorpe,Chicago White Sox,P,788600
Graham Pauley,Miami Marlins,3B,788500
Parker Messick,Cleveland Guardians,P,788400
Jacob Misiorowski,Milwaukee Brewers,P,788300
Luke Keaschall,Minnesota Twins,2B,788200
Mason Englert,Tampa Bay Rays,P,788100
Kyle Teel,Chicago White Sox,C,788050
D.L. Hall,Milwaukee Brewers,P,788000
Heriberto Hernandez,Miami Marlins,OF,788000
Angel Martinez,Cleveland Guardians,OF,788000
David Morgan,San Diego Padres,P,788000
Cole Winn,Texas Rangers,P,788000
Casey Legumina,Tampa Bay Rays,P,787900
Grant Taylor,Chicago White Sox,P,787900
Tim Tawa,Arizona Diamondbacks,2B,787700
Hunter Dobbins,St. Louis Cardinals,P,787600
Moisés Ballesteros,Chicago Cubs,C,787500
Adrian Del Castillo,Arizona Diamondbacks,C,787500
Chris Roycroft,St. Louis Cardinals,P,787500
Edgar Quero,Chicago White Sox,C,787450
Dylan Beavers,Baltimore Orioles,OF,787400
David Hamilton,Milwaukee Brewers,3B,787300
Bubba Chandler,Pittsburgh Pirates,P,787200
Thomas Saggese,St. Louis Cardinals,SS,787200
Andrew Saalfrank,Arizona Diamondbacks,P,786900
Nick Loftin,Kansas City Royals,SS,786750
Jordan Wicks,Chicago Cubs,P,786750
Kai-Wei Teng,Houston Astros,P,786700
Leonardo Rivas,Seattle Mariners,SS,786200
Kyle Harrison,Milwaukee Brewers,P,786100
Cole Young,Seattle Mariners,2B,786100
Griffin Conine,Miami Marlins,OF,786000
Daylen Lile,Washington Nationals,OF,786000
Jakob Marsee,Miami Marlins,OF,786000
Adam Mazur,Miami Marlins,P,786000
Luisangel Acuna,Chicago White Sox,OF,785950
Logan Evans,Seattle Mariners,P,785800
Yaramil Hiraldo,Baltimore Orioles,P,785800
Eric Orze,Minnesota Twins,P,785800
Matt Svanson,St. Louis Cardinals,P,785800
Tyler Locklear,Arizona Diamondbacks,1B,785700
Ben Williamson,Tampa Bay Rays,3B,785700
Otto Kemp,Philadelphia Phillies,3B,785500
Troy Melton,Detroit Tigers,P,785500
Gus Varland,Washington Nationals,P,785450
Clayton Beeter,Washington Nationals,P,785225
Prelander Berroa,Chicago White Sox,P,785200
Ky Bush,Chicago White Sox,P,785200
Brad Lord,Washington Nationals,P,785200
Colin Selby,Baltimore Orioles,P,785200
Joey Wiemer,Washington Nationals,OF,785200
Juan Morillo,Arizona Diamondbacks,P,785100
Chandler Simpson,Tampa Bay Rays,OF,785100
Kyle Backhus,Philadelphia Phillies,P,785000
Jordan Beck,Colorado Rockies,OF,785000
Jonathan Bowlan,Philadelphia Phillies,P,785000
Chase Burns,Cincinnati Reds,P,785000
Jeff Criswell,Colorado Rockies,P,785000
Cody Freeman,Texas Rangers,3B,785000
J.T. Ginn,Athletics,P,785000
Hogan Harris,Athletics,P,785000
Darell Hernaiz,Athletics,SS,785000
Michael Kelly,Athletics,P,785000
Nick Kurtz,Athletics,1B,785000
Max Lazar,Philadelphia Phillies,P,785000
Joel Peguero,San Francisco Giants,P,785000
Gordon Graceffo,St. Louis Cardinals,P,784550
Michael McGreevy,St. Louis Cardinals,P,784550
Nick Yorke,Pittsburgh Pirates,2B,784500
José Tena,Washington Nationals,SS,784400
Jackson Jobe,Detroit Tigers,P,784300
Joe Boyle,Tampa Bay Rays,P,784200
DJ Herz,Washington Nationals,P,784200
Bailey Horn,Detroit Tigers,P,784100
Jac Caglianone,Kansas City Royals,OF,784000
Ian Seymour,Tampa Bay Rays,P,783800
Cole Henry,Washington Nationals,P,783700
Blake Walston,Arizona Diamondbacks,P,783700
Jorge Barrosa,Arizona Diamondbacks,OF,783600
Sawyer Gipson-Long,Detroit Tigers,P,783600
Jordan Lawlar,Arizona Diamondbacks,OF,783600
Marcelo Mayer,Boston Red Sox,2B,783500
Will Wagner,San Diego Padres,2B,783500
C.J. Kayfus,Cleveland Guardians,1B,783400
Travis Adams,Minnesota Twins,P,783300
Everson Pereira,Chicago White Sox,OF,783300
Brady House,Washington Nationals,3B,783200
Brandon Lockridge,Milwaukee Brewers,OF,783100
Nasim Nunez,Washington Nationals,2B,783100
Ryan Bliss,Seattle Mariners,2B,783000
Yoendrys Gomez,Minnesota Twins,P,783000
Brandon Sproat,Milwaukee Brewers,P,783000
Tyler Tolbert,Kansas City Royals,SS,783000
Hunter Barco,Pittsburgh Pirates,P,782900
Billy Cook,Pittsburgh Pirates,OF,782800
Bradgley Rodriguez,San Diego Padres,P,782800
Drew Millas,Washington Nationals,C,782700
Mick Abel,Minnesota Twins,P,782500
Maximo Acosta,Miami Marlins,SS,782500
Alex Freeland,Los Angeles Dodgers,2B,782500
Brice Matthews,Houston Astros,SS,782400
Nathan Church,St. Louis Cardinals,OF,782150
Zach Agnos,Colorado Rockies,P,782000
McCade Brown,Colorado Rockies,P,782000
Chase Dollander,Colorado Rockies,P,782000
Hunter Feduccia,Tampa Bay Rays,C,782000
Jaden Hill,Colorado Rockies,P,782000
Troy Johnston,Colorado Rockies,OF,782000
Kyle Karros,Colorado Rockies,3B,782000
Juan Mejia,Colorado Rockies,P,782000
Cristian Mena,Arizona Diamondbacks,P,782000
Pierson Ohl,Colorado Rockies,P,782000
Ryan Ritter,Colorado Rockies,SS,782000
Anthony Seigler,Boston Red Sox,C,782000
P.J. Poulin,Washington Nationals,P,781900
Zak Kent,Washington Nationals,P,781850
Andrew Hoffman,Arizona Diamondbacks,P,781800
George Valera,Cleveland Guardians,OF,781700
Andrew Walters,Cleveland Guardians,P,781700
Paxton Schultz,Washington Nationals,P,781600
Craig Yoho,Milwaukee Brewers,P,781600
Owen Caissie,Miami Marlins,OF,781500
Andre Granillo,Washington Nationals,P,781500
Connor Phillips,Cincinnati Reds,P,781500
Sal Stewart,Cincinnati Reds,1B,781500
Carter Jensen,Kansas City Royals,C,781150
Nick Raquet,Baltimore Orioles,P,781050
Carson Williams,Tampa Bay Rays,SS,780800
Tristan Peters,Chicago White Sox,OF,780350
Philip Abner,Arizona Diamondbacks,P,780000
Daison Acosta,San Diego Padres,P,780000
Garrett Acton,Minnesota Twins,P,780000
Robert Ahlstrom,Texas Rangers,P,780000
Kevin Alcantara,Chicago Cubs,OF,780000
Samuel Aldegheri,Los Angeles Angels,P,780000
Franco Aleman,Cleveland Guardians,P,780000
Jason Alexander,Houston Astros,P,780000
Elvis Alvarado,Athletics,P,780000
Andrew Alvarez,Washington Nationals,P,780000
Jack Anderson,Boston Red Sox,P,780000
Tanner Andrews,Toronto Blue Jays,P,780000
Sam Antonacci,Chicago White Sox,2B,780000
Edwin Arroyo,Cincinnati Reds,SS,780000
Luinder Avila,Kansas City Royals,P,780000
Luken Baker,Arizona Diamondbacks,1B,780000
Charlie Barnes,Los Angeles Dodgers,P,780000
Mason Barnett,Athletics,P,780000
Brady Basso,Athletics,P,780000
Carter Baumler,Texas Rangers,P,780000
Travis Bazzana,Cleveland Guardians,2B,780000
Brendan Beck,New York Yankees,P,780000
Valente Bellozo,Colorado Rockies,P,780000
Carson Benge,New York Mets,OF,780000
Jake Bennett,Boston Red Sox,P,780000
Victor Bericoto,San Francisco Giants,OF,780000
Steward Berroa,Philadelphia Phillies,OF,780000
Brandan Bidois,Pittsburgh Pirates,P,780000
Mason Black,Kansas City Royals,P,780000
Tyler Black,Milwaukee Brewers,OF,780000
Henry Bolte,Athletics,OF,780000
Cody Bolton,Houston Astros,P,780000
Cam Booser,Tampa Bay Rays,P,780000
Jase Bowen,San Diego Padres,OF,780000
Juan Brito,Cleveland Guardians,SS,780000
Aaron Brooks,Tampa Bay Rays,P,780000
Zach Brzykcy,Miami Marlins,P,780000
Tyler Callihan,Pittsburgh Pirates,2B,780000
Jair Camargo,Atlanta Braves,C,780000
Gustavo Campero,Los Angeles Angels,OF,780000
Jeimer Candelario,Los Angeles Angels,3B,780000
Jonathan Cannon,Chicago White Sox,P,780000
Carlos Carrasco,Atlanta Braves,P,780000
Cole Carrigg,Colorado Rockies,C,780000
Blas Castano,Colorado Rockies,P,780000
Eiberson Castellano,Colorado Rockies,P,780000
Kervin Castro,New York Yankees,P,780000
Eric Cerantola,Kansas City Royals,P,780000
Denzel Clarke,Athletics,OF,780000
Zach Cole Jr.,Houston Astros,OF,780000
Gavin Collyer,Texas Rangers,P,780000
Riley Cornelio,Washington Nationals,P,780000
Carlos Cortes,Athletics,OF,780000
Jonah Cox,San Francisco Giants,OF,780000
Justin Crawford,Philadelphia Phillies,OF,780000
Jimmy Crooks III,St. Louis Cardinals,C,780000
Coleman Crow,Milwaukee Brewers,P,780000
Steven Cruz,Kansas City Royals,P,780000
Yovanny Cruz,New York Yankees,P,780000
Luis Curvelo,Texas Rangers,P,780000
Chad Dallas,Toronto Blue Jays,P,780000
Nick Davila,Seattle Mariners,P,780000
Tyler Davis,Chicago White Sox,P,780000
Chase DeLauter,Cleveland Guardians,OF,780000
Raynel Delgado,Houston Astros,3B,780000
Elias Diaz,Texas Rangers,C,780000
Will Dion,Cleveland Guardians,P,780000
Jasson Domínguez,New York Yankees,OF,780000
Wilber Dotel,Pittsburgh Pirates,P,780000
Daniel Duarte,New York Mets,P,780000
Blake Dunn,Cincinnati Reds,OF,780000
Oliver Dunn,Tampa Bay Rays,3B,780000
Rodolfo Durán,San Diego Padres,C,780000
Nate Eaton,Boston Red Sox,3B,780000
Jake Eder,Los Angeles Dodgers,P,780000
Josh Ekness,Miami Marlins,P,780000
Bryce Eldridge,San Francisco Giants,1B,780000
José Espada,Baltimore Orioles,P,780000
Daniel Espino,Cleveland Guardians,P,780000
Joey Estes,Athletics,P,780000
Lazaro Estrada,Toronto Blue Jays,P,780000
A.J. Ewing,New York Mets,OF,780000
Stuart Fairchild,Cleveland Guardians,OF,780000
Mitch Farris,Los Angeles Angels,P,780000
Kyler Fedko,Minnesota Twins,OF,780000
Tyler Ferguson,Chicago Cubs,P,780000
Jose Fermin,Los Angeles Angels,P,780000
Jose Fernandez,Arizona Diamondbacks,SS,780000
Brian Fitzpatrick,Milwaukee Brewers,P,780000
Rafael Flores,Pittsburgh Pirates,C,780000
Justin Foscue,Texas Rangers,2B,780000
Cameron Foster,Baltimore Orioles,P,780000
J.P. France,Houston Astros,P,780000
Jose Franco,Cincinnati Reds,P,780000
Braxton Fulford,Colorado Rockies,C,780000
Daxton Fulton,Miami Marlins,P,780000
Alec Gamboa,Boston Red Sox,P,780000
Aramis Garcia,Arizona Diamondbacks,C,780000
Brandyn Garcia,Arizona Diamondbacks,P,780000
Jhostynxon Garcia,Pittsburgh Pirates,OF,780000
Mickey Gasper,Boston Red Sox,C,780000
Joey Gerber,New York Mets,P,780000
Paul Gervase,Los Angeles Dodgers,P,780000
Cade Gibson,Miami Marlins,P,780000
Trey Gibson,Baltimore Orioles,P,780000
Domingo Gonzalez,Seattle Mariners,P,780000
Gabriel Gonzalez,Minnesota Twins,OF,780000
Jacob Gonzalez,Chicago White Sox,SS,780000
Colton Gordon,Houston Astros,P,780000
Tanner Gordon,Colorado Rockies,P,780000
Peyton Gray,Texas Rangers,P,780000
Randal Grichuk,Chicago White Sox,OF,780000
LuJames Groover,Arizona Diamondbacks,3B,780000
Ryan Gusto,Miami Marlins,P,780000
Denzer Guzman,Los Angeles Angels,SS,780000
Petey Halpin,Cleveland Guardians,OF,780000
Seth Halvorsen,Colorado Rockies,P,780000
Brenan Hanifee,Detroit Tigers,P,780000
Brett Harris,Athletics,3B,780000
Dustin Harris,Houston Astros,3B,780000
Jon Heasley,Tampa Bay Rays,P,780000
Michael Helman,Texas Rangers,2B,780000
Logan Henderson,Milwaukee Brewers,P,780000
Welinton Herrera,Colorado Rockies,P,780000
Rece Hinds,Miami Marlins,OF,780000
Nolan Hoffman,Philadelphia Phillies,P,780000
Gunnar Hoglund,Athletics,P,780000
Gavin Hollowell,Chicago Cubs,P,780000
Alex Hoppe,Seattle Mariners,P,780000
Bryan Hudson,Chicago White Sox,P,780000
Sam Huff,Baltimore Orioles,C,780000
Blake Hunt,San Diego Padres,C,780000
Jim Jarvis,Atlanta Braves,SS,780000
Leonardo Jimenez,Miami Marlins,SS,780000
Seth Johnson,Philadelphia Phillies,P,780000
Greg Jones,Milwaukee Brewers,SS,780000
Spencer Jones,New York Yankees,OF,780000
Stephen Jones,Miami Marlins,P,780000
Blaze Jordan,St. Louis Cardinals,3B,780000
Hayden Juenger,Toronto Blue Jays,P,780000
Gage Jump,Athletics,P,780000
Jace Jung,Detroit Tigers,3B,780000
Antwone Kelly,Pittsburgh Pirates,P,780000
William Kempner,Miami Marlins,P,780000
Buddy Kennedy,San Francisco Giants,2B,780000
Max Kepler,Arizona Diamondbacks,OF,780000
Brett Kerry,Los Angeles Angels,P,780000
Craig Kimbrel,Tampa Bay Rays,P,780000
George Klassen,Los Angeles Angels,P,780000
John Klein,Minnesota Twins,P,780000
Brooks Kriske,Athletics,P,780000
Joel Kuhnel,Milwaukee Brewers,P,780000
Joe La Sorsa,Boston Red Sox,P,780000
Chase Lee,Toronto Blue Jays,P,780000
Hao-Yu Lee,Detroit Tigers,2B,780000
Brandon Leibrandt,Cincinnati Reds,P,780000
Luke Little,Chicago Cubs,P,780000
Jacob Lopez,Athletics,P,780000
Nicky Lopez,Texas Rangers,SS,780000
Joe Mack,Miami Marlins,C,780000
Adam Macko,Toronto Blue Jays,P,780000
Ty Madden,Detroit Tigers,P,780000
Nick Madrigal,Los Angeles Angels,2B,780000
Riley Martin,Chicago Cubs,P,780000
Trevor Martin,Tampa Bay Rays,P,780000
Omar Martinez,Los Angeles Angels,C,780000
Luis Matos,Milwaukee Brewers,OF,780000
Brycen Mautz,St. Louis Cardinals,P,780000
Zach Maxwell,Cincinnati Reds,P,780000
Charles McAdoo,Toronto Blue Jays,2B,780000
Zach McCambley,Cincinnati Reds,P,780000
Chayce McDermott,Los Angeles Dodgers,P,780000
Trevor McDonald,San Francisco Giants,P,780000
Alexander McFarlane,Philadelphia Phillies,P,780000
Easton McGee,Milwaukee Brewers,P,780000
Kevin McGonigle,Detroit Tigers,3B,780000
Curtis Mead,Washington Nationals,3B,780000
Wade Meckler,Los Angeles Angels,OF,780000
Victor Mederos,Atlanta Braves,P,780000
Victor Mesa Jr.,Tampa Bay Rays,OF,780000
Luis Mey,Cincinnati Reds,P,780000
Spencer Miles,Toronto Blue Jays,P,780000
Wyatt Mills,Los Angeles Dodgers,P,780000
Kameron Misner,Kansas City Royals,OF,780000
Anthony Molina,Atlanta Braves,P,780000
Braden Montgomery,Chicago White Sox,OF,780000
Nick Morabito,New York Mets,OF,780000
Luis Morales,Athletics,P,780000
Andrew Morris,Minnesota Twins,P,780000
Kade Morris,Athletics,P,780000
Max Muncy,Athletics,3B,780000
Jayden Murray,Houston Astros,P,780000
Tanner Murray,Chicago White Sox,SS,780000
Samy Natera Jr.,Los Angeles Angels,P,780000
Doug Nikhazy,Chicago Cubs,P,780000
Rikuu Nishida,Chicago White Sox,2B,780000
Anthony Nunez,Baltimore Orioles,P,780000
Eduarniel Nunez,Chicago Cubs,P,780000
Robinson Ortiz,Seattle Mariners,P,780000
Alejandro Osuna,Texas Rangers,OF,780000
Chris Paddack,Cincinnati Reds,P,780000
