player,team,position,salary
Clay Holmes,New York Mets,P,13000000
Jorge Soler,Los Angeles Angels,DH,13000000
Robert Suarez,Atlanta Braves,P,13000000
Justin Verlander,Detroit Tigers,P,13000000
Will Smith,Los Angeles Dodgers,C,12927716
Patrick Sandoval,Boston Red Sox,P,12750000
Brady Singer,Cincinnati Reds,P,12750000
Jeff Hoffman,Toronto Blue Jays,P,12666666
Cal Raleigh,Seattle Mariners,C,12666666
Tanner Scott,Los Angeles Dodgers,P,12588508
Jordan Hicks,Chicago White Sox,P,12500000
Salvador Perez,Kansas City Royals,C,12500000
Jake Cronenworth,San Diego Padres,2B,12285714
Taylor Ward,Baltimore Orioles,OF,12175000
Tommy Edman,Los Angeles Dodgers,OF,12091513
Luis Arraez,San Francisco Giants,2B,12000000
J.P. Crawford,Seattle Mariners,SS,12000000
Yandy Diaz,Tampa Bay Rays,DH,12000000
Nico Hoerner,Chicago Cubs,2B,12000000
Dustin May,St. Louis Cardinals,P,12000000
Antonio Senzatela,Colorado Rockies,P,12000000
Anthony Santander,Toronto Blue Jays,OF,11806220
Brandon Lowe,Pittsburgh Pirates,2B,11500000
Josh Naylor,Seattle Mariners,1B,11300000
Jesús Luzardo,Philadelphia Phillies,P,11000000
A.J. Minter,New York Mets,P,11000000
Robert Stephenson,Los Angeles Angels,P,11000000
Logan Gilbert,Seattle Mariners,P,10927000
Daulton Varsho,Toronto Blue Jays,OF,10750000
Corbin Carroll,Arizona Diamondbacks,OF,10625000
Marcell Ozuna,Pittsburgh Pirates,DH,10500000
Jeffrey Springs,Athletics,P,10500000
Alec Bohm,Philadelphia Phillies,3B,10200000
Jazz Chisholm,New York Yankees,2B,10200000
Carlos Estevez,Kansas City Royals,P,10100000
Adolis García,Philadelphia Phillies,OF,10000000
Tyler Mahle,San Francisco Giants,P,10000000
Max Muncy,Los Angeles Dodgers,1B,10000000
Emilio Pagan,Cincinnati Reds,P,10000000
Luke Weaver,New York Mets,P,9500000
Jeremy Pena,Houston Astros,SS,9475000
William Contreras,Milwaukee Brewers,C,9400000
Isaac Paredes,Houston Astros,3B,9350000
Jose Alvarado,Philadelphia Phillies,P,9000000
David Bednar,New York Yankees,P,9000000
Kenley Jansen,Detroit Tigers,P,9000000
Joe Jimenez,Atlanta Braves,P,9000000
Brad Keller,Philadelphia Phillies,P,9000000
Michael King,San Diego Padres,P,9000000
Andrew Kittredge,Baltimore Orioles,P,9000000
Nick Martinez,Tampa Bay Rays,P,9000000
Mike Yastrzemski,Atlanta Braves,OF,9000000
Kyle Finnegan,Detroit Tigers,P,8750000
Alejandro Kirk,Toronto Blue Jays,C,8700000
Tyler Rogers,Toronto Blue Jays,P,8666666
Gunnar Henderson,Baltimore Orioles,SS,8500000
Hunter Greene,Cincinnati Reds,P,8333333
Kazuma Okamoto,Toronto Blue Jays,3B,8250000
David Peterson,New York Mets,P,8100000
Zach Eflin,Baltimore Orioles,P,8000000
Michael Harris II,Atlanta Braves,OF,8000000
Jonathan India,Kansas City Royals,2B,8000000
Freddy Peralta,New York Mets,P,8000000
Brent Rooker,Athletics,DH,8000000
Michael Lorenzen,Colorado Rockies,P,7750000
Gregory Soto,Pittsburgh Pirates,P,7750000
Steven Kwan,Cleveland Guardians,OF,7725000
Jarren Duran,Boston Red Sox,OF,7700000
Andrew Vaughn,Milwaukee Brewers,1B,7650000
Ranger Suarez,Boston Red Sox,P,7600000
Harrison Bader,San Francisco Giants,OF,7500000
Seranthony Dominguez,Chicago White Sox,P,7500000
Jhoan Duran,Philadelphia Phillies,P,7500000
Yimi Garcia,Toronto Blue Jays,P,7500000
Steven Matz,Tampa Bay Rays,P,7500000
Andres Munoz,Seattle Mariners,P,7500000
Matt Strahm,Kansas City Royals,P,7500000
Garrett Whitlock,Boston Red Sox,P,7500000
Myles Straw,Toronto Blue Jays,OF,7400000
Jackson Chourio,Milwaukee Brewers,OF,7250000
Adley Rutschman,Baltimore Orioles,C,7250000
Ozzie Albies,Atlanta Braves,2B,7000000
Drew Anderson,Detroit Tigers,P,7000000
Ke'Bryan Hayes,Cincinnati Reds,3B,7000000
Adrian Houser,San Francisco Giants,P,7000000
Yariel Rodriguez,Toronto Blue Jays,P,7000000
Michael Soroka,Arizona Diamondbacks,P,7000000
Trevor Williams,Washington Nationals,P,7000000
Luis Garcia,Washington Nationals,1B,6875000
Tyler Stephenson,Cincinnati Reds,C,6800000
Jesús Sánchez,Toronto Blue Jays,OF,6800000
Ryan Mountcastle,Baltimore Orioles,1B,6787000
Justin Steele,Chicago Cubs,P,6775000
Kyle Higashioka,Texas Rangers,C,6750000
Ryan Jeffers,Minnesota Twins,C,6700000
Jason Adam,San Diego Padres,P,6675000
George Kirby,Seattle Mariners,P,6550000
Ramon Laureano,San Diego Padres,OF,6500000
Cedric Mullins,Tampa Bay Rays,OF,6500000
Evan Phillips,Los Angeles Dodgers,P,6500000
Emmanuel Clase,Cleveland Guardians,P,6400000
Geraldo Perdomo,Arizona Diamondbacks,SS,6250000
Rob Refsnyder,Seattle Mariners,OF,6250000
Trevor Rogers,Baltimore Orioles,P,6200000
Brayan Bello,Boston Red Sox,P,6166666
Kris Bubic,Kansas City Royals,P,6150000
Casey Mize,Detroit Tigers,P,6150000
Camilo Doval,New York Yankees,P,6100000
Mauricio Dubon,Atlanta Braves,SS,6100000
Joe Ryan,Minnesota Twins,P,6100000
Aaron Civale,Athletics,P,6000000
Isiah Kiner-Falefa,Boston Red Sox,SS,6000000
Cody Ponce,Toronto Blue Jays,P,6000000
Jose Quintana,Colorado Rockies,P,6000000
Travis d'Arnaud,Los Angeles Angels,C,6000000
Bryson Stott,Philadelphia Phillies,2B,5900000
Bryan Abreu,Houston Astros,P,5850000
Brendan Donovan,Seattle Mariners,3B,5800000
Josh Bell,Minnesota Twins,1B,5750000
Dean Kremer,Baltimore Orioles,P,5750000
Yuki Matsui,San Diego Padres,P,5750000
Drew Rasmussen,Tampa Bay Rays,P,5750000
Hunter Brown,Houston Astros,P,5710000
Aaron Ashby,Milwaukee Brewers,P,5700000
MacKenzie Gore,Texas Rangers,P,5600000
Gavin Lux,Tampa Bay Rays,2B,5525000
Willi Castro,Colorado Rockies,2B,5500000
Foster Griffin,Washington Nationals,P,5500000
Pierce Johnson,Cincinnati Reds,P,5500000
Phil Maton,Chicago Cubs,P,5500000
Colin Rea,Chicago Cubs,P,5500000
Miguel Rojas,Los Angeles Dodgers,SS,5500000
Keibert Ruiz,Washington Nationals,C,5375000
Shea Langeliers,Athletics,C,5250000
Lars Nootbaar,St. Louis Cardinals,OF,5250000
Lane Thomas,Kansas City Royals,OF,5250000
Jose Trevino,Cincinnati Reds,C,5250000
Ezequiel Tovar,Colorado Rockies,SS,5214285
Jo Adell,Los Angeles Angels,OF,5200000
Brandon Marsh,Philadelphia Phillies,OF,5200000
Bailey Ober,Minnesota Twins,P,5200000
Victor Robles,Seattle Mariners,OF,5125000
Tomoyuki Sugano,Colorado Rockies,P,5100000
Riley Greene,Detroit Tigers,OF,5000000
Hunter Harvey,Chicago Cubs,P,5000000
Austin Hays,Chicago White Sox,OF,5000000
Anthony Kay,Chicago White Sox,P,5000000
Carson Kelly,Chicago Cubs,C,5000000
Kirby Yates,Los Angeles Angels,P,5000000
Brooks Raley,New York Mets,P,4750000
Nick Lodolo,Cincinnati Reds,P,4725000
Trevor Megill,Milwaukee Brewers,P,4700000
Ernie Clement,Toronto Blue Jays,2B,4600000
Cole Ragans,Kansas City Royals,P,4583333
Yainer Diaz,Houston Astros,C,4500000
Caleb Ferguson,Cincinnati Reds,P,4500000
Enrique Hernandez,Los Angeles Dodgers,OF,4500000
Sean Newcomb,Chicago White Sox,P,4500000
Clarke Schmidt,New York Yankees,P,4500000
Gavin Sheets,San Diego Padres,1B,4500000
Trevor Larnach,Minnesota Twins,OF,4475000
Edward Cabrera,Chicago Cubs,P,4450000
Wandy Peralta,San Diego Padres,P,4450000
Tanner Bibee,Cleveland Guardians,P,4400000
Eric Lauer,Los Angeles Dodgers,P,4400000
Edmundo Sosa,Philadelphia Phillies,3B,4400000
Danny Jansen,Texas Rangers,C,4350000
Colt Keith,Detroit Tigers,3B,4333333
Maikel Garcia,Kansas City Royals,3B,4260000
JoJo Romero,St. Louis Cardinals,P,4260000
CJ Abrams,Washington Nationals,SS,4200000
Zach McKinstry,Detroit Tigers,2B,4200000
Vinnie Pasquantino,Kansas City Royals,1B,4200000
Tanner Houck,Boston Red Sox,P,4150000
Zach Neto,Los Angeles Angels,SS,4150000
Brice Turang,Milwaukee Brewers,2B,4150000
Hyeseong Kim,Los Angeles Dodgers,2B,4083333
Spencer Torkelson,Detroit Tigers,1B,4075000
Shawn Armstrong,Cleveland Guardians,P,4000000
Victor Caratini,Minnesota Twins,C,4000000
Paul Goldschmidt,New York Yankees,1B,4000000
Austin Hedges,Cleveland Guardians,C,4000000
Chris Martin,Texas Rangers,P,4000000
Mason Miller,San Diego Padres,P,4000000
Yoan Moncada,Los Angeles Angels,3B,4000000
Mickey Moniak,Colorado Rockies,OF,4000000
