name,team,salary,position,age,per
Shaedon Sharpe,Portland Trail Blazers,8399983,Shooting Guard,22,15.3
Shai Gilgeous-Alexander,Oklahoma City Thunder,38333050,Point Guard,27,30.8
Shake Milton,Los Angeles Lakers,3000000,Shooting Guard,29,
Sidy Cissoko,Portland Trail Blazers,688243,Small Forward,21,7.1
Simone Fontecchio,Miami Heat,8307692,Small Forward,30,13.8
Sion James,Charlotte Hornets,2296274,Shooting Guard,23,8.3
Spencer Dinwiddie,Charlotte Hornets,2296274,Point Guard,32,
Spencer Jones,Denver Nuggets,623967,Small Forward,24,9.3
Stephen Curry,Golden State Warriors,59606817,Point Guard,37,22.6
Stephon Castle,San Antonio Spurs,9560520,Point Guard,21,17.4
Steven Adams,Houston Rockets,14130434,Center,32,15.8
Svi Mykhailiuk,Utah Jazz,3675000,Small Forward,28,11.4
T.J. McConnell,Indiana Pacers,10200000,Point Guard,33,20.5
Taj Gibson,Memphis Grizzlies,960753,Center,40,13.6
Tari Eason,Houston Rockets,5675766,Power Forward,24,12.9
Taurean Prince,Milwaukee Bucks,3303774,Small Forward,31,10.5
Taylor Hendricks,Memphis Grizzlies,6127080,Power Forward,22,12.2
Terance Mann,Brooklyn Nets,15500000,Shooting Guard,29,10.2
Terence Davis,Sacramento Kings,2546675,Shooting Guard,28,
Terrence Shannon Jr.,Minnesota Timberwolves,2674080,Shooting Guard,25,11.1
Terry Rozier,Miami Heat,26643031,Point Guard,31,
Thanasis Antetokounmpo,Milwaukee Bucks,2296274,Small Forward,33,14
Thomas Bryant,Cleveland Cavaliers,2296274,Center,28,17.2
Thomas Sorber,Oklahoma City Thunder,4655040,Center,20,
Tidjane Salaun,Charlotte Hornets,7863240,Power Forward,20,12.9
Tim Hardaway Jr.,Denver Nuggets,2296274,Shooting Guard,33,13.5
Tobias Harris,Detroit Pistons,26634146,Power Forward,33,15
Toumani Camara,Portland Trail Blazers,2221677,Power Forward,25,11.3
Trae Young,Washington Wizards,46394100,Point Guard,27,21.1
Trayce Jackson-Davis,Toronto Raptors,2221677,Center,25,16.6
Tre Johnson,Washington Wizards,8237640,Shooting Guard,19,10.6
Tre Jones,Chicago Bulls,8000000,Point Guard,26,18.7
Tre Mann,Charlotte Hornets,8000000,Point Guard,24,8.3
Trendon Watford,Philadelphia 76ers,2461463,Power Forward,25,13.1
Trey Murphy III,New Orleans Pelicans,25000000,Small Forward,25,18.3
Tristan da Silva,Orlando Magic,3809520,Small Forward,24,12
Tristan Vukcevic,Washington Wizards,2857143,Center,22,17.8
Ty Jerome,Memphis Grizzlies,8781000,Shooting Guard,28,25.6
Tyler Herro,Miami Heat,31000000,Shooting Guard,26,17.1
Tyler Kolek,New York Knicks,2191897,Point Guard,24,12.5
Tyler Smith,Dallas Mavericks,1955377,Power Forward,21,9.6
Tyrese Haliburton,Indiana Pacers,45550512,Point Guard,25,
Tyrese Maxey,Philadelphia 76ers,37958760,Point Guard,25,21.9
Tyrese Proctor,Cleveland Cavaliers,1272870,Point Guard,21,12.2
Tyus Jones,Denver Nuggets,514682,Point Guard,29,8.3
Victor Wembanyama,San Antonio Spurs,13376880,Center,22,29.9
Vince Williams Jr.,Utah Jazz,2301587,Shooting Guard,25,10.7
Vit Krejci,Portland Trail Blazers,2349578,Point Guard,25,11.1
VJ Edgecombe,Philadelphia 76ers,11108880,Shooting Guard,20,14
Walker Kessler,Utah Jazz,4878938,Center,24,20.6
Walter Clayton Jr.,Memphis Grizzlies,3991320,Point Guard,22,10.3
Wendell Carter Jr.,Orlando Magic,10850000,Center,26,14.1
Will Richard,Golden State Warriors,1272870,Shooting Guard,23,11
Will Riley,Washington Wizards,3512520,Small Forward,19,12.1
Xavier Tillman,Charlotte Hornets,2546675,Center,27,11
Yang Hansen,Portland Trail Blazers,4422360,Center,20,3.7
Yanic Konan Niederhauser,LA Clippers,2743800,Center,22,16.4
Yves Missi,New Orleans Pelicans,3353040,Center,21,15
Zaccharie Risacher,Atlanta Hawks,13197720,Small Forward,20,11.8
Zach Collins,Chicago Bulls,18080496,Center,28,17.9
Zach Edey,Memphis Grizzlies,6045000,Center,23,20.7
Zach LaVine,Sacramento Kings,47499660,Shooting Guard,30,14.7
Zeke Nnaji,Denver Nuggets,8177778,Power Forward,25,10.3
Ziaire Williams,Brooklyn Nets,6250000,Small Forward,24,12.4
Zion Williamson,New Orleans Pelicans,39446090,Power Forward,25,22.6
